SimID;Strategy;Strategy Label;Total Output;End WIP;Avg Cycle Time
515;original;Base Game;50;57;15,21
516;original;Base Game;49;64;15,77
517;original;Base Game;49;46;16,08
518;original;Base Game;48;52;16,08
519;original;Base Game;60;50;13,96
520;original;Base Game;52;36;15,38
521;original;Base Game;57;51;14,81
522;original;Base Game;51;57;15,07
523;original;Base Game;52;50;15,94
524;original;Base Game;52;48;15,56
525;original;Base Game;58;49;12,5
526;original;Base Game;51;64;14,53
527;original;Base Game;56;60;15,55
528;original;Base Game;57;59;14,9
529;original;Base Game;55;54;15,63
530;original;Base Game;52;52;15,38
531;original;Base Game;51;62;15,87
532;original;Base Game;48;50;15,42
533;original;Base Game;53;58;14,12
534;original;Base Game;56;51;14
535;original;Base Game;49;58;15,38
536;original;Base Game;44;65;17,75
537;original;Base Game;54;41;14,5
538;original;Base Game;59;52;15,35
539;original;Base Game;52;39;14,44
540;original;Base Game;49;47;16,62
541;original;Base Game;54;59;16,78
542;original;Base Game;58;56;15,5
543;original;Base Game;49;64;16,77
544;original;Base Game;49;56;15,15
545;original;Base Game;50;55;16
546;original;Base Game;49;65;16,38
547;original;Base Game;49;64;17,77
548;original;Base Game;53;52;14,76
549;original;Base Game;54;55;15,33
550;original;Base Game;56;45;13,2
551;original;Base Game;56;37;13,2
552;original;Base Game;54;61;15,33
553;original;Base Game;47;59;16,45
554;original;Base Game;52;66;13,12
555;original;Base Game;48;49;16,08
556;original;Base Game;56;51;13,65
557;original;Base Game;51;49;13,73
558;original;Base Game;56;46;13,9
559;original;Base Game;56;54;14,9
560;original;Base Game;45;56;16,67
561;original;Base Game;52;56;16,75
562;original;Base Game;50;54;17
563;original;Base Game;52;52;15,62
564;original;Base Game;52;58;15,81
565;original;Base Game;56;43;14
566;original;Base Game;52;69;16,25
567;original;Base Game;54;48;16,78
568;original;Base Game;49;57;15,46
569;original;Base Game;53;52;14,82
570;original;Base Game;56;42;14,55
571;original;Base Game;53;58;15,29
572;original;Base Game;55;48;13,89
573;original;Base Game;55;61;14,84
574;original;Base Game;52;59;13,94
575;original;Base Game;53;58;15,35
576;original;Base Game;54;42;14,06
577;original;Base Game;49;46;16,38
578;original;Base Game;52;54;13,25
579;original;Base Game;48;59;17,17
580;original;Base Game;55;59;14,42
581;original;Base Game;53;54;15,29
582;original;Base Game;51;46;15,73
583;original;Base Game;55;47;14,47
584;original;Base Game;43;53;18,29
585;original;Base Game;48;63;17,42
586;original;Base Game;52;57;17,12
587;original;Base Game;51;54;16,07
588;original;Base Game;59;45;14,26
589;original;Base Game;57;46;15,52
590;original;Base Game;55;50;15,58
591;original;Base Game;51;63;15,2
592;original;Base Game;46;64;16,7
593;original;Base Game;53;51;14,71
594;original;Base Game;50;56;15,64
595;original;Base Game;54;52;15
596;original;Base Game;53;52;14,18
597;original;Base Game;51;59;15,87
598;original;Base Game;51;57;16,53
599;original;Base Game;51;53;15,93
600;original;Base Game;55;43;15,11
